id,modelNumber,title,subTitle,url,image,priceData_price,priceData_salePrice,priceData_discountText,priceData_prices,colourVariations,rating,ratingCount,hoverImage
GW6439,LKK10,Tensaur Hook and Loop Shoes,Kids 4-8 Years Sportswear,/tensaur-hook-and-loop-shoes/GW6439.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/1c52375ddc5e4358844eae9200ddb84f_9366/tensaur-hook-and-loop-shoes.jpg",28,28,0%,"[{'type': 'original', 'valueNoVat': 28, 'value': 28, 'discountPercentage': 0}]","['GW1987', 'GW1981', 'GW6451', 'GW6453', 'GW6439', 'GW6440', 'IF1726', 'IF1727', 'IF1728', 'IF1730', 'JH9538', 'JH9541', 'IE0922', 'ID2308', 'IG8583', 'IG8582', 'IG8580']",4.8452,3598,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/aecc4fd095fe42048756ae9200dd26ba_9366/tensaur-hook-and-loop-shoes.jpg"
JH6206,EVOM2,Adizero EVO SL Shoes,Men Running,/adizero-evo-sl-shoes/JH6206.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/125283129eb84e0d885c367b3cd0a6d5_9366/adizero-evo-sl-shoes.jpg",130,130,0%,"[{'type': 'original', 'valueNoVat': 130, 'value': 130, 'discountPercentage': 0}]","['JH6206', 'JP7149', 'JS4487', 'JS4494', 'JS4492', 'JR3419', 'JR3417', 'JR3416', 'JR3414']",4.7707,567,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/245ccfb27dd84e26a11a5cfc6578b41a_9366/adizero-evo-sl-shoes.jpg"
B75806,BSZ08,Samba OG Shoes,Originals,/samba-og-shoes/B75806.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9b983d5bc09a4d4aba39a8bf011869ba_9366/samba-og-shoes.jpg",95,95,0%,"[{'type': 'original', 'valueNoVat': 95, 'value': 95, 'discountPercentage': 0}]","['JR2014', 'JI3185', 'JI3184', 'JS3830', 'JS3831', 'JR0886', 'JR0884', 'JI3206', 'JI3207', 'JI3214', 'JI3212', 'JQ5141', 'ID1481', 'IH4881', 'B75807', 'B75806', 'JQ8835', 'JH8798', 'JH8797', 'JQ6215']",4.7078,18684,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8c4158c4c39a4ab09b8ba8c000c96fd0_9366/samba-og-shoes.jpg"
H03472,MBV19,Campus 00s Shoes,Originals,/campus-00s-shoes/H03472.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9e99f8ca0ad74b82bacbaf8700918cae_9366/campus-00s-shoes.jpg",90,90,0%,"[{'type': 'original', 'valueNoVat': 90, 'value': 90, 'discountPercentage': 0}]","['JI3163', 'JI3167', 'JR8163', 'JR8162', 'ID1435', 'JQ8349', 'JQ8346', 'JQ8354', 'JQ8356', 'JP9997', 'JS1103', 'H03471', 'H03472', 'JQ7439', 'JR1646', 'HQ8708', 'JH8789', 'JH8794', 'JH8793', 'JH8790', 'JH8998', 'JH8997']",4.7992,473,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ba4281fa367b47ec8cb4af8601259d72_9366/campus-00s-shoes.jpg"
JR9446,OPH64,Samba OG Shoes,Originals,/samba-og-shoes/JR9446.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/604eba89600442b1af09300f109c54e0_9366/samba-og-shoes.jpg",95,95,0%,"[{'type': 'original', 'valueNoVat': 95, 'value': 95, 'discountPercentage': 0}]","['JP5329', 'IG1963', 'JR8842', 'JR8844', 'JR8848', 'ID0478', 'IF6513', 'JI2678', 'JI2681', 'JI2725', 'JI2724', 'JI2735', 'JH5687', 'JR9447', 'JR9446']",4.86,207,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/78b9bdf5c5aa4640903be08eefa4b089_9366/samba-og-shoes.jpg"
JS4487,EVOM2,Adizero EVO SL Shoes,Men Running,/adizero-evo-sl-shoes/JS4487.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/2d4ffb5af8b74f5394790c8a6c3dd354_9366/adizero-evo-sl-shoes.jpg",130,130,0%,"[{'type': 'original', 'valueNoVat': 130, 'value': 130, 'discountPercentage': 0}]","['JH6206', 'JP7149', 'JS4487', 'JS4494', 'JS4492', 'JR3419', 'JR3417', 'JR3416', 'JR3414']",4.7707,567,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/40b57f721d8a4952893a3a9b008fc2a7_9366/adizero-evo-sl-shoes.jpg"
DB3021,BTP23,Handball Spezial Shoes,Originals,/handball-spezial-shoes/DB3021.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/6181237298a44c5fb07da96d0111461c_9366/handball-spezial-shoes.jpg",90,90,0%,"[{'type': 'original', 'valueNoVat': 90, 'value': 90, 'discountPercentage': 0}]","['JH7557', 'JR2121', 'DB3021', 'JR3846', 'JR3845', 'BD7632', 'BD7633', 'JP5356', 'IE3403', 'JH5438', 'JH5439', 'JH5436', 'JH5437', 'JH5435', 'JH5450', 'JH5451', 'JH5445', 'JH5444', 'JR4881', 'JR4880', 'JR4879']",4.8068,5382,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/96c5eb48a9074ee9889aa96d0110ca89_9366/handball-spezial-shoes.jpg"
IE4034,LZQ32,Duramo SL Shoes,Men Running,/duramo-sl-shoes/IE4034.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/b60dfd0a9b9a4ea9a3e9a50d6a9df0d9_9366/duramo-sl-shoes.jpg",55,38.5,30%,"[{'type': 'original', 'valueNoVat': 55, 'value': 55, 'discountPercentage': 30}, {'type': 'sale', 'valueNoVat': 38.5, 'value': 38.5}]","['IF1200', 'IE4034']",4.5452,1662,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/bd00bd5b882e4a4a9ebc968bd5eb0690_9366/duramo-sl-shoes.jpg"
CQ2333,EOY06,Nizza Shoes,Originals,/nizza-shoes/CQ2333.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e1bb35da69ab4c1681afa89400b878b7_9366/nizza-shoes.jpg",70,35,50%,"[{'type': 'original', 'valueNoVat': 70, 'value': 70, 'discountPercentage': 50}, {'type': 'sale', 'valueNoVat': 35, 'value': 35}]","['CQ2333', 'CQ2332']",4.6593,2072,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/a712b0a634b642bcb847a89400aa5dc9_9366/nizza-shoes.jpg"
JP7149,EVOM2,Adizero EVO SL Shoes,Men Running,/adizero-evo-sl-shoes/JP7149.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ed03f2b031b04884a8481cec1ccca4e2_9366/adizero-evo-sl-shoes.jpg",130,130,0%,"[{'type': 'original', 'valueNoVat': 130, 'value': 130, 'discountPercentage': 0}]","['JH6206', 'JP7149', 'JS4487', 'JS4494', 'JS4492', 'JR3419', 'JR3417', 'JR3416', 'JR3414']",4.7707,567,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8065a3d63065487d96c5216e2fc96d61_9366/adizero-evo-sl-shoes.jpg"
JS4492,EVOM2,Adizero EVO SL Shoes,Men Running,/adizero-evo-sl-shoes/JS4492.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/5856e6c02bae4ad484db4509d8d57af3_9366/adizero-evo-sl-shoes.jpg",130,130,0%,"[{'type': 'original', 'valueNoVat': 130, 'value': 130, 'discountPercentage': 0}]","['JH6206', 'JP7149', 'JS4487', 'JS4494', 'JS4492', 'JR3419', 'JR3417', 'JR3416', 'JR3414']",4.7707,567,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/6f2fc034794f438d9dc4ab949710273f_9366/adizero-evo-sl-shoes.jpg"
BD7633,BTP23,Handball Spezial Shoes,Originals,/handball-spezial-shoes/BD7633.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c7e877a1841c47559465a96d010f344a_9366/handball-spezial-shoes.jpg",90,90,0%,"[{'type': 'original', 'valueNoVat': 90, 'value': 90, 'discountPercentage': 0}]","['JH7557', 'JR2121', 'DB3021', 'JR3846', 'JR3845', 'BD7632', 'BD7633', 'JP5356', 'IE3403', 'JH5438', 'JH5439', 'JH5436', 'JH5437', 'JH5435', 'JH5450', 'JH5451', 'JH5445', 'JH5444', 'JR4881', 'JR4880', 'JR4879']",4.8068,5382,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/24d6e4bd92a24af289a0a96d0101f83d_9366/handball-spezial-shoes.jpg"
GZ5301,DBH42,Advantage Shoes,Sportswear,/advantage-shoes/GZ5301.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0f4669ceb84940ef8196ad1800d3e3b5_9366/advantage-shoes.jpg",70,35,50%,"[{'type': 'original', 'valueNoVat': 70, 'value': 70, 'discountPercentage': 50}, {'type': 'sale', 'valueNoVat': 35, 'value': 35}]","['GZ5300', 'GZ5301', 'GW5537']",4.7117,749,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7167f0abe66f4af6a469ad1800d3b2cf_9366/advantage-shoes.jpg"
JH8793,MBV19,Campus 00s Shoes,Originals,/campus-00s-shoes/JH8793.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4627ace498ea49a38815496bb21cea3e_9366/campus-00s-shoes.jpg",90,90,0%,"[{'type': 'original', 'valueNoVat': 90, 'value': 90, 'discountPercentage': 0}]","['JI3163', 'JI3167', 'JR8163', 'JR8162', 'ID1435', 'JQ8349', 'JQ8346', 'JQ8354', 'JQ8356', 'JP9997', 'JS1103', 'H03471', 'H03472', 'JQ7439', 'JR1646', 'HQ8708', 'JH8789', 'JH8794', 'JH8793', 'JH8790', 'JH8998', 'JH8997']",4.7992,473,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4573512cd701491ebd9b51b8e57c5701_9366/campus-00s-shoes.jpg"
CQ2332,EOY06,Nizza Shoes,Originals,/nizza-shoes/CQ2332.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/89c465a50c884a91959ea89700a90d7a_9366/nizza-shoes.jpg",70,38.5,45%,"[{'type': 'original', 'valueNoVat': 70, 'value': 70, 'discountPercentage': 45}, {'type': 'sale', 'valueNoVat': 38.5, 'value': 38.5}]","['CQ2333', 'CQ2332']",4.6593,2072,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fe3924188f924652847fa89700a8b905_9366/nizza-shoes.jpg"
JI2734,SAMBAOGSHOE2,Samba OG Shoes,Originals,/samba-og-shoes/JI2734.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/49d73d8eaccb48ee89ee3feb82ce098c_9366/samba-og-shoes.jpg",100,100,0%,"[{'type': 'original', 'valueNoVat': 100, 'value': 100, 'discountPercentage': 0}]",[],4.8751,16,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/2a313d6eb1e2434db16b5aa5e1f52735_9366/samba-og-shoes.jpg"
HQ8708,MBV19,Campus 00s Shoes,Originals,/campus-00s-shoes/HQ8708.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/2345cc874f884fc0a6a8af50010537fb_9366/campus-00s-shoes.jpg",90,90,0%,"[{'type': 'original', 'valueNoVat': 90, 'value': 90, 'discountPercentage': 0}]","['JI3163', 'JI3167', 'JR8163', 'JR8162', 'ID1435', 'JQ8349', 'JQ8346', 'JQ8354', 'JQ8356', 'JP9997', 'JS1103', 'H03471', 'H03472', 'JQ7439', 'JR1646', 'HQ8708', 'JH8789', 'JH8794', 'JH8793', 'JH8790', 'JH8998', 'JH8997']",4.7992,473,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/506681c25cee4ece9a6aaf500104dbb2_9366/campus-00s-shoes.jpg"
JR2014,BSZ08,Samba OG Shoes,Men Originals,/samba-og-shoes/JR2014.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fb1ef5e76c87471c92cfd085414b4d43_9366/samba-og-shoes.jpg",100,100,0%,"[{'type': 'original', 'valueNoVat': 100, 'value': 100, 'discountPercentage': 0}]","['JR2014', 'JI3185', 'JI3184', 'JS3830', 'JS3831', 'JR0886', 'JR0884', 'JI3206', 'JI3207', 'JI3214', 'JI3212', 'JQ5141', 'ID1481', 'IH4881', 'B75807', 'B75806', 'JQ8835', 'JH8798', 'JH8797', 'JQ6215']",4.7078,18684,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0742b6f5d2b84419b11a8c19b79afef3_9366/samba-og-shoes.jpg"
JI2324,NMO87,Barreda Decode Shoes,Women Sportswear,/barreda-decode-shoes/JI2324.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/30853c42dea544dfaa542c87610a6cea_9366/barreda-decode-shoes.jpg",75,75,0%,"[{'type': 'original', 'valueNoVat': 75, 'value': 75, 'discountPercentage': 0}]","['JP9669', 'JP9670', 'JP9671', 'JI2321', 'JI2324', 'JI2323', 'JR3545', 'JR3544', 'JR3540', 'JR3539']",4.7667,90,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d37666888d084ba1bb8801da2ada8a2e_9366/barreda-decode-shoes.jpg"
